T F7 F3 F4 F8 T3 C3 Cz C4 T5 P3 Pz P4 T6 O1 O2
41 46.02 46.02 46.02 46.02 46.02 46.02 46.02 46.02 46.02 45.02 45.02 45.02 46.02 46.02 46.02
0 7.011 3.865 8.045 1.978 3.416 -0.5393 11.37 13.08 0.08989 -4.309 2.99 3.341 0.8989 -16.09 0.7191
0.005 11.42 8.315 10.61 7.056 5.843 0.3146 13.57 10.79 -0.9888 -4.485 4.133 5.012 3.326 -16.45 2.337
0.01 10.61 9.483 5.708 7.506 7.91 1.573 7.865 5.438 -3.056 -4.221 3.957 4.66 6.472 -16 1.348
0.015 4.674 6.607 -3.146 2.562 8.539 3.775 -0.4494 1.438 -4.315 -2.022 3.605 2.022 7.551 -14.29 -1.618
0.02 -1.798 1.528 -11.1 -5.618 6.787 5.169 -5.933 0 -4.27 1.935 3.078 -2.198 4.764 -10.88 -5.573
0.025 -5.303 -3.236 -14.38 -12.4 3.461 4.584 -6.472 0.1348 -3.371 5.716 1.847 -6.155 -1.258 -5.933 -9.258
0.03 -5.843 -5.888 -12 -13.48 0.3146 2.382 -4 -0.2697 -2.247 7.386 -0.1759 -8.442 -8.09 0.08989 -11.33
0.035 -4.674 -6.067 -6.607 -8.404 -1.528 -0.5843 -1.978 -3.371 -1.303 6.155 -2.814 -9.057 -12.49 6.202 -10.88
0.04 -2.337 -4.584 -1.438 -0.8989 -2.652 -4 -1.618 -8.629 -0.8989 3.341 -4.66 -8.53 -12.85 11.6 -6.921
0.045 0.2697 -2.382 2.112 4.719 -3.551 -6.382 -1.169 -10.74 -0.3596 1.231 -3.078 -5.276 -9.079 16.9 0.809
0.05 2.067 0 4.764 6.157 -3.64 -5.708 1.708 -4.944 0.764 1.583 3.341 1.847 -2.787 22.38 10.7
0.055 3.865 3.011 6.787 4.225 -1.843 -1.708 7.101 6.292 2.427 4.748 12.84 11.34 3.775 27.15 19.24
0.06 7.101 7.191 7.416 1.169 1.843 3.955 12.9 15.46 4 9.057 21.19 19.08 8.539 28.58 23.28
0.065 10.61 11.37 6.742 -0.6292 6.157 9.978 16.67 17.57 4.449 11.7 24.71 21.37 10.07 24.72 21.48
0.07 10.88 13.62 5.798 -0.4944 8.944 15.55 17.75 14.07 3.416 11.08 22.16 16.62 7.82 15.37 14.11
0.075 6.921 12.9 5.393 0.08989 8.18 18.38 16.9 9.034 1.124 7.65 14.6 6.243 2.607 2.607 3.056
0.08 1.348 9.303 4.854 -0.809 3.101 15.64 14.16 4.854 -2.427 2.11 3.517 -5.628 -3.236 -11.33 -8.809
0.085 -4.135 3.191 3.011 -3.775 -4.719 6.697 7.82 1.303 -6.247 -5.1 -9.057 -14.42 -7.101 -24.09 -18.61
0.09 -10.25 -5.573 -1.079 -7.416 -12.27 -6.157 -4 -4.045 -9.618 -13.72 -21.37 -18.47 -8.09 -34.25 -24.72
0.095 -16.81 -16.31 -7.775 -9.843 -17.48 -19.51 -20.31 -14.02 -11.33 -22.6 -32.1 -20.05 -7.461 -40.99 -27.24
0.1 -22.11 -26.7 -15.87 -9.933 -20.18 -30.2 -35.55 -26.7 -11.1 -29.63 -39.13 -21.28 -6.742 -42.97 -25.8
0.105 -24.45 -33.21 -21.53 -7.551 -20.31 -34.2 -41.8 -33.84 -8.629 -31.48 -38.95 -20.58 -5.663 -38.29 -19.87
0.11 -23.01 -32.4 -20.99 -3.416 -17.03 -28.49 -34.34 -27.55 -3.551 -25.59 -29.19 -14.77 -3.236 -25.89 -9.618
0.115 -16.99 -22.79 -13.8 1.124 -9.753 -13.93 -15.1 -9.124 3.011 -12.13 -11.7 -3.605 0.9888 -7.91 2.607
0.12 -6.022 -6.517 -3.416 4.225 0.1348 4.449 7.775 11.51 9.573 4.748 7.211 9.057 6.112 10.79 13.57
0.125 6.742 10.79 6.202 5.528 9.978 20.72 25.53 25.48 13.71 18.82 20.93 18.91 9.978 24.63 20.85
0.13 16 22.88 12.49 5.663 16.9 30.97 33.62 30.47 14.11 25.68 26.56 23.83 11.06 31.28 24.18
0.135 19.51 26.7 14.88 5.573 19.1 32.85 33.03 29.21 11.46 25.32 24.97 24.53 10.34 31.46 24.63
0.14 19.06 23.46 13.89 5.528 16.54 26.88 28.13 25.62 7.011 21.02 20.22 24.27 10.16 28.04 24.72
0.145 16.72 16.85 11.73 5.888 11.19 16.85 22.29 22.38 2.607 16.36 16.09 25.24 11.96 24.18 25.35
0.15 12.49 9.933 10.38 7.101 5.663 7.865 16.76 19.15 -0.5843 12.66 14.25 25.85 14.11 21.12 24.99
0.155 7.011 4.854 10.61 9.169 1.438 2.247 11.1 13.08 -2.742 9.585 12.49 21.72 13.3 17.89 20.76
0.16 2.247 2.247 11.37 11.55 -1.798 -1.034 5.393 2.921 -4.854 5.364 8.266 10.99 7.91 13.03 11.78
0.165 -0.9888 1.348 11.87 13.44 -4.27 -2.876 1.124 -7.191 -7.191 -0.1759 1.935 -2.286 0.3596 5.843 0.9888
0.17 -3.596 0.8539 11.69 13.8 -5.483 -3.056 -0.7191 -11.87 -8.719 -5.452 -4.309 -11.96 -5.843 -2.247 -8
0.175 -5.933 -0.3146 9.528 11.64 -5.348 -1.753 -1.079 -11.01 -8.584 -8.266 -8.53 -15.48 -8.36 -9.708 -13.57
0.18 -7.551 -2.382 4.27 6.517 -4.899 -0.809 -2.697 -9.843 -7.236 -8.617 -11.7 -15.56 -8.539 -15.46 -16.9
0.185 -8.539 -5.528 -3.146 -0.08989 -5.348 -1.573 -7.865 -11.96 -6.157 -8.969 -15.65 -16.44 -9.348 -19.51 -19.87
0.19 -9.888 -9.213 -10.11 -5.573 -7.011 -4.18 -16.27 -16.72 -6.652 -11.7 -20.93 -20.14 -12.31 -22.02 -23.46
0.195 -10.61 -12 -14.79 -8.225 -9.169 -8.764 -25.03 -22.07 -8.584 -16.36 -26.47 -24.97 -16.45 -23.46 -26.7
0.2 -8.36 -12.63 -17.03 -8.944 -10.83 -14.52 -30.83 -26.43 -10.7 -20.4 -29.9 -27.17 -18.43 -23.73 -27.33
0.205 -3.955 -11.46 -17.53 -9.708 -11.19 -19.06 -32 -27.73 -10.83 -20.84 -28.31 -23.3 -15.82 -22.38 -23.46
0.21 -1.528 -10.29 -16.72 -11.69 -10.07 -19.46 -28.94 -24.04 -8.045 -16.71 -21.19 -13.37 -9.348 -18.07 -16.09
0.215 -3.326 -10.38 -14.88 -13.89 -7.91 -15.73 -23.51 -15.78 -3.551 -9.409 -10.99 -1.495 -1.798 -10.7 -7.91
0.22 -7.461 -11.1 -12.31 -14.16 -5.798 -10.74 -17.08 -5.124 0.4494 -2.198 -1.055 7.826 4.584 -1.708 -1.169
0.225 -10.7 -11.15 -8.944 -10.29 -4.18 -6.562 -10.52 5.798 2.247 2.462 6.595 13.28 8.719 6.921 4.135
0.23 -11.87 -9.528 -5.258 -3.011 -2.607 -3.281 -4.629 13.89 2.202 4.133 12.22 15.39 10.43 13.48 8.449
0.235 -9.978 -6.382 -2.876 3.865 -1.169 -0.8989 -0.8539 13.84 1.348 4.397 15.56 13.98 9.438 17.08 11.15
0.24 -5.573 -2.697 -3.101 6.202 -0.8989 -0.04494 -0.1798 3.506 0.8539 4.397 15.92 9.057 6.112 17.89 12.04
0.245 -0.9888 0.2247 -4.18 3.416 -2.067 -0.6292 -1.348 -11.15 0.6742 4.485 13.37 2.99 2.427 17.35 12.04
0.25 1.169 1.933 -2.022 -0.08989 -3.236 -1.034 -1.124 -19.24 0.764 4.66 9.761 -0.5276 0.8989 16.9 12.4
0.255 1.438 3.73 5.483 0.8989 -2.292 0.08989 3.506 -14.65 1.079 6.067 7.562 0.1759 2.697 16.9 14.02
0.26 3.326 7.596 16.22 7.865 1.663 3.146 12.99 -0.5843 2.382 9.497 8.705 4.309 6.382 16.54 16.27
0.265 8.18 13.39 25.62 17.26 7.596 8.764 24.18 14.92 4.764 14.51 13.1 9.233 8.629 14.92 17.35
0.27 13.3 18.61 29.53 23.06 13.53 16.09 31.91 24.45 7.955 18.91 18.55 12.22 6.921 11.6 15.28
0.275 15.73 20.49 26.2 21.12 16.63 21.89 32.36 24.76 10.43 19.96 20.49 11.7 2.067 6.292 9.169
0.28 15.01 17.62 17.71 12.58 15.28 21.48 25.44 17.98 10.7 16.18 16.09 8.705 -1.618 -0.9888 1.528
0.285 11.33 10.61 8.989 3.371 10.07 14.07 15.33 10.79 8.449 8.178 6.683 7.035 -0.4494 -9.528 -3.596
0.29 5.034 1.753 4.36 -0.6292 3.955 3.64 7.281 8.764 5.438 -0.3517 -2.55 8.793 5.303 -16.9 -3.955
0.295 -1.438 -5.663 4.09 1.888 -0.2697 -5.034 4.36 11.1 3.91 -5.716 -7.386 12.49 11.6 -20.22 -0.8989
